stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
061568,061568,ΑΓ.ΜΕΛΕΤΙΟΣ,Επί της ΑΓ.ΜΕΛΕΤΙΟΥ,38.001627756,23.720235284,0
061569,061569,Α'ΝΕΚΡΟΤΑΦΕΙΟ,Επί της ΥΜΗΤΤΟΥ,37.962704007,23.741136078,0
061590,061590,ΣΥΓΓΡΟΥ,Επί της ΑΘ.ΔΙΑΚΟΥ,37.967983822,23.732305680,0
061591,061591,ΕΜΠΟΡΙΚΟ ΚΕΝΤΡΟ,Επί της ΧΑΡ.ΤΡΙΚΟΥΠΗ,37.982169574,23.732083352,0
061592,061592,ΠΟΛΥΤΕΧΝΕΙΟ,Επί της ΣΤΟΥΡΝΑΡΗ,37.987529031,23.730685935,0
061593,061593,ΑΜΕΡΙΚΗΣ,Επί της ΑΚΑΔΗΜΙΑΣ,37.978097855,23.737005691,0
061594,061594,ΚΑΣΟΜΟΥΛΗ,Επί της ΦΡΑΝΤΖΗ,37.957364522,23.731376654,0
061595,061595,ΜΕΝΕΚΡΑΤΟΥΣ,Επί της ΛΕΩΦ.ΚΑΦΑΝΤΑΡΗ,37.956810917,23.737673530,0
061596,061596,ΣΧΟΛΕΙΟ,Επί της ΤΙΜ.ΦΙΛΗΜΟΝΟΣ,37.984938892,23.753789162,0
061598,061598,ΚΑΡΑΝΙΚΑ,Επί της ΜΕΣΟΓΕΙΩΝ,37.987198009,23.765499668,0
061600,061600,ΗΛΙΟΥΠΟΛΕΩΣ,Επί της ΥΜΗΤΤΟΥ,37.960668051,23.737500439,0
061602,061602,ΦΙΞ,Επί της ΚΑΛΛΙΡΡΟΗΣ,37.964718431,23.727194586,0
061604,061604,ΦΙΛΑΔΕΛΦΕΙΑΣ,Επί της ΦΙΛΑΔΕΛΦΕΙΑΣ,37.992322252,23.722240853,0
061605,061605,ΑΦΕΤΗΡΙΑ,Επί της ΜΕΝΑΝΔΡΟΥ,37.983785101,23.725233727,0
061606,061606,ΠΑΡΚΟ ΕΥΕΛΠΙΔΩΝ,Επί της ΕΥΕΛΠΙΔΩΝ,37.996722889,23.743112190,0
070001,070001,ΑΓ.ΠΑΝΤΕΛΕΗΜΩΝ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.989193709,23.689375191,0
